openTime,openTimeIso,open,high,low,close,volume
1785688500000,2026-08-02T16:35:00.000Z,63181.04000000,63206.01000000,63159.31000000,63206.00000000,31.42752000
1785688800000,2026-08-02T16:40:00.000Z,63206.01000000,63273.49000000,63197.00000000,63222.01000000,46.11283000
1785689100000,2026-08-02T16:45:00.000Z,63222.01000000,63232.00000000,63208.00000000,63212.01000000,20.37995000
1785689400000,2026-08-02T16:50:00.000Z,63212.01000000,63212.01000000,63186.77000000,63186.97000000,10.15174000
1785689700000,2026-08-02T16:55:00.000Z,63186.97000000,63202.00000000,63180.36000000,63180.36000000,21.34635000
1785690000000,2026-08-02T17:00:00.000Z,63180.36000000,63192.00000000,63164.11000000,63191.99000000,18.71509000
1785690300000,2026-08-02T17:05:00.000Z,63192.00000000,63192.00000000,63156.00000000,63156.01000000,9.22189000
1785690600000,2026-08-02T17:10:00.000Z,63156.00000000,63219.86000000,63152.00000000,63210.00000000,37.66829000
1785690900000,2026-08-02T17:15:00.000Z,63210.00000000,63210.00000000,63192.37000000,63208.64000000,15.73003000
1785691200000,2026-08-02T17:20:00.000Z,63208.64000000,63342.00000000,63208.63000000,63342.00000000,37.17835000
1785691500000,2026-08-02T17:25:00.000Z,63342.00000000,63342.00000000,63262.00000000,63282.53000000,21.62087000
1785691800000,2026-08-02T17:30:00.000Z,63282.53000000,63317.00000000,63282.53000000,63292.32000000,18.99820000
1785692100000,2026-08-02T17:35:00.000Z,63292.32000000,63317.00000000,63291.52000000,63312.00000000,58.65679000
1785692400000,2026-08-02T17:40:00.000Z,63312.00000000,63326.00000000,63292.91000000,63326.00000000,23.16467000
1785692700000,2026-08-02T17:45:00.000Z,63325.99000000,63332.71000000,63315.47000000,63328.90000000,24.38442000
1785693000000,2026-08-02T17:50:00.000Z,63328.89000000,63328.90000000,63310.10000000,63310.10000000,8.40344000
1785693300000,2026-08-02T17:55:00.000Z,63310.11000000,63314.00000000,63300.28000000,63300.28000000,44.64973000
